i,target,loss_see,loss_uni,loss_bi,loss_actual,w_see,w_uni,w_bi
0,110,-0.000000,8.011227,8.000000,1.573779,0.333333,0.333333,0.333333
1,99,33.219281,8.016808,8.000000,8.718184,0.388597,0.305650,0.305753
2,108,33.219281,8.022368,8.000000,8.387993,0.229886,0.384895,0.385219
3,117,33.219281,8.027906,8.000000,8.203418,0.123116,0.438111,0.438773
4,100,33.219281,8.033423,8.000000,8.109104,0.062109,0.468395,0.469495
5,101,33.219281,8.038919,8.000000,8.063919,0.030457,0.483960,0.485582
6,32,33.219281,8.044394,8.000000,8.043568,0.014855,0.491462,0.493684
7,60,33.219281,8.049849,8.000000,8.035290,0.007357,0.494873,0.497770
8,115,18.407750,8.055282,8.000000,8.032762,0.003798,0.496276,0.499926
9,116,-0.000000,8.060696,8.000000,7.172999,0.003115,0.496204,0.500681
10,100,33.219281,7.066089,8.000000,7.467399,0.004290,0.495168,0.500542
11,105,33.219281,7.071462,8.005625,7.463692,0.002321,0.503132,0.494547
12,111,33.219281,8.076816,8.005625,8.043618,0.001408,0.510580,0.488013
13,46,33.219281,8.082149,8.000000,8.042809,0.000995,0.510251,0.488755
14,104,33.219281,8.087463,8.000000,8.045110,0.000800,0.509728,0.489472
15,62,9.862505,8.092757,8.000000,8.047245,0.000709,0.509113,0.490178
16,10,33.219281,8.098032,8.000000,8.050493,0.001004,0.508262,0.490734
17,35,33.219281,7.103288,8.000000,7.477268,0.000805,0.507623,0.491572
18,105,33.219281,6.523562,7.005625,6.738545,0.000706,0.514381,0.484913
19,110,33.219281,7.113742,7.011227,7.064396,0.000652,0.518005,0.481343
20,99,33.219281,7.118941,7.005625,7.064071,0.000631,0.517237,0.482132
21,108,33.219281,7.124121,7.005625,7.066532,0.000621,0.516383,0.482996
22,117,33.219281,7.129283,7.005625,7.068974,0.000616,0.515487,0.483896
23,100,33.219281,6.549464,7.005625,6.753765,0.000614,0.514553,0.484833
24,101,18.040244,7.139551,7.011227,7.077190,0.000611,0.517957,0.481431
25,32,19.271322,7.144658,7.005625,7.076988,0.000773,0.516902,0.482326
