Starting Phase 14 Hierarchical Benchmark...
Dataset: data\markdown_docs.md

=== Bigram Residual Base ===
| Model                  |   C |   K |  Dim |    BPB |  L0 Cyc |  L1 Cyc | Fwd Cyc |  dBPB/1kC |
|------------------------|-----|-----|------|--------|---------|---------|---------|-----------|
| Bigram Base            |  -1 |   0 |    0 | 4.4454 |     0.0 |     0.0 | 17863.3 |   0.00000 |
| L0 Only (T=4)          |   0 |   0 |   64 | 4.3924 |  4251.1 |    36.0 | 24752.9 |   0.00182 |
| L0 + L1 (C=4)          |   4 |   4 |  576 | 4.4484 |  4389.7 |   809.4 | 86766.3 |   0.00000 |
| L0 + L1 (C=8)          |   8 |   4 |  576 | 4.4484 |  4335.7 |   258.9 | 90466.6 |   0.00000 |
| L0 + L1 (C=16)         |  16 |   4 |  576 | 4.4484 |  4357.3 |   264.7 | 87706.1 |   0.00000 |
| L0 + L1 (C=32)         |  32 |   4 |  576 | 4.4484 |  4312.9 |   259.0 | 86607.8 |   0.00000 |

=== Trigram Residual Base ===
| Model                  |   C |   K |  Dim |    BPB |  L0 Cyc |  L1 Cyc | Fwd Cyc |  dBPB/1kC |
|------------------------|-----|-----|------|--------|---------|---------|---------|-----------|
| Trigram Base           |  -1 |   0 |    0 | 3.8548 |     0.0 |     0.0 | 17992.2 |   0.00000 |
| L0 Only (T=4)          |   0 |   0 |   64 | 3.9368 |  4318.9 |    39.7 | 23886.6 |   0.00000 |
| L0 + L1 (C=4)          |   4 |   4 |  576 | 4.0686 |  4381.1 |   316.5 | 85383.9 |   0.00000 |
| L0 + L1 (C=8)          |   8 |   4 |  576 | 4.0686 |  4341.0 |   275.8 | 87405.4 |   0.00000 |
| L0 + L1 (C=16)         |  16 |   4 |  576 | 4.0686 |  4309.4 |   275.9 | 87983.3 |   0.00000 |
| L0 + L1 (C=32)         |  32 |   4 |  576 | 4.0686 |  5169.6 |   411.9 | 105071.6 |   0.00000 |
