Starting Phase 14 Hierarchical Benchmark...
Dataset: data\c_code.c

=== Bigram Residual Base ===
| Model                  |   C | Decay |  Dim |    BPB |  L0 Cyc |  L1 Cyc | Fwd Cyc |  dBPB/1kC |
|------------------------|-----|-------|------|--------|---------|---------|---------|-----------|
| Bigram Base            |  -1 | 0.000 |    0 | 3.7084 |     0.0 |     0.0 | 19863.5 |   0.00000 |
| L0 Only (T=4)          |   0 | 0.000 |   64 | 3.2941 |  4144.0 |    38.2 | 23771.6 |   0.01482 |
| L0+L1(C=4, d=0.250)    |   4 | 0.250 |  192 | 3.2521 |  4328.3 |   136.0 | 35852.0 |   0.01132 |
| L0+L1(C=4, d=0.500)    |   4 | 0.500 |  192 | 3.2446 |  4292.3 |    56.5 | 35400.7 |   0.01167 |
| L0+L1(C=4, d=0.750)    |   4 | 0.750 |  192 | 3.2383 |  4303.1 |    58.1 | 38504.3 |   0.01097 |
| L0+L1(C=4, d=0.875)    |   4 | 0.875 |  192 | 3.2625 |  4129.1 |    64.0 | 36942.3 |   0.01084 |
| L0+L1(C=8, d=0.250)    |   8 | 0.250 |  192 | 3.2595 |  4162.3 |    54.4 | 37160.7 |   0.01085 |
| L0+L1(C=8, d=0.500)    |   8 | 0.500 |  192 | 3.2528 |  4124.8 |    55.5 | 35349.7 |   0.01153 |
| L0+L1(C=8, d=0.750)    |   8 | 0.750 |  192 | 3.2684 |  4152.4 |    51.9 | 35661.6 |   0.01104 |
| L0+L1(C=8, d=0.875)    |   8 | 0.875 |  192 | 3.3024 |  4105.2 |    50.4 | 35389.2 |   0.01027 |
| L0+L1(C=16, d=0.250)   |  16 | 0.250 |  192 | 3.2659 |  4125.5 |    47.7 | 35330.3 |   0.01120 |
| L0+L1(C=16, d=0.500)   |  16 | 0.500 |  192 | 3.2797 |  4132.1 |    51.5 | 35296.1 |   0.01086 |
| L0+L1(C=16, d=0.750)   |  16 | 0.750 |  192 | 3.3073 |  4114.8 |    49.4 | 35357.3 |   0.01015 |
| L0+L1(C=16, d=0.875)   |  16 | 0.875 |  192 | 3.3472 |  4121.0 |    46.8 | 35237.2 |   0.00917 |

=== Trigram Residual Base ===
| Model                  |   C | Decay |  Dim |    BPB |  L0 Cyc |  L1 Cyc | Fwd Cyc |  dBPB/1kC |
|------------------------|-----|-------|------|--------|---------|---------|---------|-----------|
| Trigram Base           |  -1 | 0.000 |    0 | 2.8774 |     0.0 |     0.0 | 16913.0 |   0.00000 |
| L0 Only (T=4)          |   0 | 0.000 |   64 | 2.7993 |  4139.4 |    38.6 | 23219.7 |   0.00285 |
| L0+L1(C=4, d=0.250)    |   4 | 0.250 |  192 | 2.7794 |  4179.4 |    58.9 | 36151.4 |   0.00243 |
| L0+L1(C=4, d=0.500)    |   4 | 0.500 |  192 | 2.7636 |  4080.6 |    51.4 | 36386.4 |   0.00281 |
| L0+L1(C=4, d=0.750)    |   4 | 0.750 |  192 | 2.7616 |  4112.2 |    77.9 | 36122.7 |   0.00287 |
| L0+L1(C=4, d=0.875)    |   4 | 0.875 |  192 | 2.7826 |  4095.1 |    52.2 | 36245.1 |   0.00235 |
| L0+L1(C=8, d=0.250)    |   8 | 0.250 |  192 | 2.7764 |  4089.5 |    47.5 | 36451.7 |   0.00249 |
| L0+L1(C=8, d=0.500)    |   8 | 0.500 |  192 | 2.7733 |  4070.4 |    45.4 | 36442.8 |   0.00257 |
| L0+L1(C=8, d=0.750)    |   8 | 0.750 |  192 | 2.7881 |  4271.9 |    60.5 | 36580.4 |   0.00218 |
| L0+L1(C=8, d=0.875)    |   8 | 0.875 |  192 | 2.8060 |  4186.8 |    46.5 | 36530.2 |   0.00175 |
| L0+L1(C=16, d=0.250)   |  16 | 0.250 |  192 | 2.7832 |  4166.6 |    45.3 | 36751.0 |   0.00230 |
| L0+L1(C=16, d=0.500)   |  16 | 0.500 |  192 | 2.7868 |  4153.8 |    44.2 | 36539.9 |   0.00223 |
| L0+L1(C=16, d=0.750)   |  16 | 0.750 |  192 | 2.8212 |  4197.7 |    44.1 | 37560.4 |   0.00135 |
| L0+L1(C=16, d=0.875)   |  16 | 0.875 |  192 | 2.8528 |  4196.5 |    43.5 | 37654.3 |   0.00059 |
