Starting Phase 14 Hierarchical Benchmark...
Dataset: data\markdown_docs.md

=== Bigram Residual Base ===
| Model                  |   C | Decay |  Dim |    BPB |  L0 Cyc |  L1 Cyc | Fwd Cyc |  dBPB/1kC |
|------------------------|-----|-------|------|--------|---------|---------|---------|-----------|
| Bigram Base            |  -1 | 0.000 |    0 | 4.4454 |     0.0 |     0.0 | 17271.4 |   0.00000 |
| L0 Only (T=4)          |   0 | 0.000 |   64 | 4.3720 |  4238.6 |    37.3 | 23338.5 |   0.00266 |
| L0+L1(C=4, d=0.250)    |   4 | 0.250 |  192 | 4.3729 |  4228.3 |   143.4 | 36576.6 |   0.00177 |
| L0+L1(C=4, d=0.500)    |   4 | 0.500 |  192 | 4.3782 |  4155.1 |    52.1 | 36140.7 |   0.00166 |
| L0+L1(C=4, d=0.750)    |   4 | 0.750 |  192 | 4.3790 |  4157.1 |    52.0 | 35929.9 |   0.00165 |
| L0+L1(C=4, d=0.875)    |   4 | 0.875 |  192 | 4.3820 |  4159.6 |    51.9 | 36916.7 |   0.00154 |
| L0+L1(C=8, d=0.250)    |   8 | 0.250 |  192 | 4.3827 |  4207.3 |    50.0 | 36047.6 |   0.00156 |
| L0+L1(C=8, d=0.500)    |   8 | 0.500 |  192 | 4.3842 |  4203.6 |    48.2 | 36604.0 |   0.00150 |
| L0+L1(C=8, d=0.750)    |   8 | 0.750 |  192 | 4.3818 |  4358.7 |    74.3 | 37323.6 |   0.00152 |
| L0+L1(C=8, d=0.875)    |   8 | 0.875 |  192 | 4.3795 |  4179.7 |    46.2 | 36066.5 |   0.00164 |
| L0+L1(C=16, d=0.250)   |  16 | 0.250 |  192 | 4.3877 |  4175.9 |    42.8 | 36450.4 |   0.00142 |
| L0+L1(C=16, d=0.500)   |  16 | 0.500 |  192 | 4.3840 |  4204.5 |    45.2 | 37342.6 |   0.00148 |
| L0+L1(C=16, d=0.750)   |  16 | 0.750 |  192 | 4.3835 |  4233.8 |    45.9 | 35966.9 |   0.00154 |
| L0+L1(C=16, d=0.875)   |  16 | 0.875 |  192 | 4.3862 |  4177.6 |    42.8 | 35976.7 |   0.00147 |

=== Trigram Residual Base ===
| Model                  |   C | Decay |  Dim |    BPB |  L0 Cyc |  L1 Cyc | Fwd Cyc |  dBPB/1kC |
|------------------------|-----|-------|------|--------|---------|---------|---------|-----------|
| Trigram Base           |  -1 | 0.000 |    0 | 3.8548 |     0.0 |     0.0 | 17962.8 |   0.00000 |
| L0 Only (T=4)          |   0 | 0.000 |   64 | 3.8233 |  4183.1 |    37.6 | 23378.6 |   0.00114 |
| L0+L1(C=4, d=0.250)    |   4 | 0.250 |  192 | 3.8378 |  4567.5 |    95.8 | 37466.8 |   0.00040 |
| L0+L1(C=4, d=0.500)    |   4 | 0.500 |  192 | 3.8386 |  4160.9 |    51.8 | 36239.5 |   0.00040 |
| L0+L1(C=4, d=0.750)    |   4 | 0.750 |  192 | 3.8535 |  4179.1 |    52.7 | 36485.0 |   0.00003 |
| L0+L1(C=4, d=0.875)    |   4 | 0.875 |  192 | 3.8640 |  4254.8 |    63.7 | 37502.6 |   0.00000 |
| L0+L1(C=8, d=0.250)    |   8 | 0.250 |  192 | 3.8520 |  4137.3 |    48.0 | 36130.2 |   0.00007 |
| L0+L1(C=8, d=0.500)    |   8 | 0.500 |  192 | 3.8608 |  4181.3 |    45.8 | 35899.3 |   0.00000 |
| L0+L1(C=8, d=0.750)    |   8 | 0.750 |  192 | 3.8679 |  4135.6 |    46.5 | 37226.6 |   0.00000 |
| L0+L1(C=8, d=0.875)    |   8 | 0.875 |  192 | 3.8736 |  4155.1 |    45.8 | 35878.2 |   0.00000 |
| L0+L1(C=16, d=0.250)   |  16 | 0.250 |  192 | 3.8626 |  4150.6 |    42.4 | 35970.7 |   0.00000 |
| L0+L1(C=16, d=0.500)   |  16 | 0.500 |  192 | 3.8689 |  4160.5 |    43.3 | 37472.8 |   0.00000 |
| L0+L1(C=16, d=0.750)   |  16 | 0.750 |  192 | 3.8738 |  4271.8 |    52.1 | 36565.2 |   0.00000 |
| L0+L1(C=16, d=0.875)   |  16 | 0.875 |  192 | 3.8776 |  4076.7 |    41.7 | 35936.1 |   0.00000 |
