Starting Phase 14 Hierarchical Benchmark...
Dataset: data\promessi_sposi.txt

=== Bigram Residual Base ===
| Model                  |   C | Decay |  Dim |    BPB |  L0 Cyc |  L1 Cyc | Fwd Cyc |  dBPB/1kC |
|------------------------|-----|-------|------|--------|---------|---------|---------|-----------|
| Bigram Base            |  -1 | 0.000 |    0 | 3.2557 |     0.0 |     0.0 | 16815.6 |   0.00000 |
| L0 Only (T=4)          |   0 | 0.000 |   64 | 3.0416 |  4264.7 |    36.6 | 22600.3 |   0.00796 |
| L0+L1(C=4, d=0.250)    |   4 | 0.250 |  192 | 3.0373 |  4144.3 |   136.3 | 35864.7 |   0.00544 |
| L0+L1(C=4, d=0.500)    |   4 | 0.500 |  192 | 3.0394 |  4061.4 |    49.8 | 36471.1 |   0.00533 |
| L0+L1(C=4, d=0.750)    |   4 | 0.750 |  192 | 3.0489 |  4141.2 |    51.7 | 36385.3 |   0.00510 |
| L0+L1(C=4, d=0.875)    |   4 | 0.875 |  192 | 3.0569 |  4132.4 |    53.1 | 35372.1 |   0.00502 |
| L0+L1(C=8, d=0.250)    |   8 | 0.250 |  192 | 3.0503 |  4142.2 |    49.7 | 35207.1 |   0.00521 |
| L0+L1(C=8, d=0.500)    |   8 | 0.500 |  192 | 3.0548 |  4197.5 |    48.3 | 35853.3 |   0.00501 |
| L0+L1(C=8, d=0.750)    |   8 | 0.750 |  192 | 3.0640 |  4063.9 |    43.2 | 35719.3 |   0.00481 |
| L0+L1(C=8, d=0.875)    |   8 | 0.875 |  192 | 3.0857 |  4107.2 |    46.6 | 35920.9 |   0.00424 |
| L0+L1(C=16, d=0.250)   |  16 | 0.250 |  192 | 3.0593 |  4135.1 |    41.3 | 35908.2 |   0.00490 |
| L0+L1(C=16, d=0.500)   |  16 | 0.500 |  192 | 3.0670 |  4080.3 |    42.0 | 35215.2 |   0.00480 |
| L0+L1(C=16, d=0.750)   |  16 | 0.750 |  192 | 3.0847 |  4125.1 |    46.6 | 37630.4 |   0.00409 |
| L0+L1(C=16, d=0.875)   |  16 | 0.875 |  192 | 3.0852 |  4199.3 |    44.2 | 37055.1 |   0.00413 |

=== Trigram Residual Base ===
| Model                  |   C | Decay |  Dim |    BPB |  L0 Cyc |  L1 Cyc | Fwd Cyc |  dBPB/1kC |
|------------------------|-----|-------|------|--------|---------|---------|---------|-----------|
| Trigram Base           |  -1 | 0.000 |    0 | 2.7440 |     0.0 |     0.0 | 17022.2 |   0.00000 |
| L0 Only (T=4)          |   0 | 0.000 |   64 | 2.6956 |  4061.0 |    36.2 | 23387.3 |   0.00176 |
| L0+L1(C=4, d=0.250)    |   4 | 0.250 |  192 | 2.6893 |  4621.7 |   110.2 | 36508.1 |   0.00133 |
| L0+L1(C=4, d=0.500)    |   4 | 0.500 |  192 | 2.6908 |  4385.6 |    84.8 | 37461.4 |   0.00127 |
| L0+L1(C=4, d=0.750)    |   4 | 0.750 |  192 | 2.6952 |  4234.4 |    67.6 | 37470.8 |   0.00117 |
| L0+L1(C=4, d=0.875)    |   4 | 0.875 |  192 | 2.7008 |  4156.5 |    60.8 | 38161.6 |   0.00102 |
| L0+L1(C=8, d=0.250)    |   8 | 0.250 |  192 | 2.6982 |  4131.5 |    52.1 | 37147.4 |   0.00111 |
| L0+L1(C=8, d=0.500)    |   8 | 0.500 |  192 | 2.6989 |  4204.7 |    50.1 | 36772.8 |   0.00110 |
| L0+L1(C=8, d=0.750)    |   8 | 0.750 |  192 | 2.7038 |  4135.0 |    51.2 | 37522.2 |   0.00096 |
| L0+L1(C=8, d=0.875)    |   8 | 0.875 |  192 | 2.7139 |  4139.6 |    53.4 | 36940.8 |   0.00073 |
| L0+L1(C=16, d=0.250)   |  16 | 0.250 |  192 | 2.7049 |  4214.6 |    53.9 | 35707.2 |   0.00098 |
| L0+L1(C=16, d=0.500)   |  16 | 0.500 |  192 | 2.7062 |  4218.8 |    43.8 | 35724.8 |   0.00095 |
| L0+L1(C=16, d=0.750)   |  16 | 0.750 |  192 | 2.7117 |  4137.0 |    45.0 | 35614.9 |   0.00081 |
| L0+L1(C=16, d=0.875)   |  16 | 0.875 |  192 | 2.7246 |  4111.4 |    45.7 | 36430.5 |   0.00048 |
