[A1] raw = 5632.0 MiB from 1163820 training docs (20026 reserved-band docs skipped)  sha dec356cadd4fcf0a...
Token indices sequence length is longer than the specified maximum sequence length for this model (247205 > 32768). Running this sequence through the model will result in indexing errors
     block 0  247205 teacher tok  3s
     block 50  13339450 teacher tok  58s
     block 100  26494743 teacher tok  113s
     block 150  39431659 teacher tok  168s
     block 200  52420483 teacher tok  222s
     block 250  65549924 teacher tok  275s
     block 300  78573655 teacher tok  328s
     block 350  91713399 teacher tok  382s
     block 400  105197133 teacher tok  437s
     block 450  118084602 teacher tok  490s
     block 500  131301808 teacher tok  542s
     block 550  144005346 teacher tok  596s
     block 600  156861286 teacher tok  649s
     block 650  170153157 teacher tok  704s
     block 700  182948806 teacher tok  756s
     block 750  195828600 teacher tok  810s
     block 800  208696631 teacher tok  863s
     block 850  221549266 teacher tok  917s
     block 900  234545708 teacher tok  969s
     block 950  247481478 teacher tok  1023s
     block 1000  260483259 teacher tok  1075s
     block 1050  273480555 teacher tok  1130s
     block 1100  286709008 teacher tok  1183s
     block 1150  299960372 teacher tok  1236s
     block 1200  312821985 teacher tok  1288s
     block 1250  325697381 teacher tok  1339s
     block 1300  338700354 teacher tok  1392s
     block 1350  351644636 teacher tok  1444s
     block 1400  364675919 teacher tok  1494s
     block 1450  377591596 teacher tok  1547s
     block 1500  390773982 teacher tok  1599s
     block 1550  403665510 teacher tok  1650s
     block 1600  416636661 teacher tok  1700s
     block 1650  429899315 teacher tok  1755s
     block 1700  442891088 teacher tok  1806s
     block 1750  455774168 teacher tok  1857s
     block 1800  469181635 teacher tok  1909s
     block 1850  482095191 teacher tok  1962s
     block 1900  495076118 teacher tok  2015s
     block 1950  508250636 teacher tok  2066s
     block 2000  521284891 teacher tok  2118s
     block 2050  534520318 teacher tok  2170s
