[A1] raw reused D:\_THINGS\Progetti\SiliconLLM\results\phase64\rung1\raw_m0.bin (5632.0 MiB)
Token indices sequence length is longer than the specified maximum sequence length for this model (247205 > 32768). Running this sequence through the model will result in indexing errors
     block 0  247205 teacher tok  2s
     block 50  13339450 teacher tok  53s
     block 100  26494743 teacher tok  104s
     block 150  39431659 teacher tok  155s
     block 200  52420483 teacher tok  205s
     block 250  65549924 teacher tok  257s
     block 300  78573655 teacher tok  307s
     block 350  91713399 teacher tok  358s
     block 400  105197133 teacher tok  410s
     block 450  118084602 teacher tok  461s
     block 500  131301808 teacher tok  511s
     block 550  144005346 teacher tok  561s
     block 600  156861286 teacher tok  611s
     block 650  170153157 teacher tok  663s
     block 700  182948806 teacher tok  713s
     block 750  195828600 teacher tok  764s
     block 800  208696631 teacher tok  814s
     block 850  221549266 teacher tok  864s
     block 900  234545708 teacher tok  915s
     block 950  247481478 teacher tok  966s
     block 1000  260483259 teacher tok  1016s
     block 1050  273480555 teacher tok  1067s
     block 1100  286709008 teacher tok  1118s
     block 1150  299960372 teacher tok  1168s
     block 1200  312821985 teacher tok  1220s
     block 1250  325697381 teacher tok  1270s
     block 1300  338700354 teacher tok  1321s
     block 1350  351644636 teacher tok  1372s
     block 1400  364675919 teacher tok  1422s
     block 1450  377591596 teacher tok  1473s
     block 1500  390773982 teacher tok  1524s
     block 1550  403665510 teacher tok  1574s
     block 1600  416636661 teacher tok  1624s
     block 1650  429899315 teacher tok  1679s
     block 1700  442891088 teacher tok  1730s
     block 1750  455774168 teacher tok  1780s
     block 1800  469181635 teacher tok  1831s
     block 1850  482095191 teacher tok  1881s
     block 1900  495076118 teacher tok  1933s
     block 1950  508250636 teacher tok  1984s
     block 2000  521284891 teacher tok  2035s
     block 2050  534520318 teacher tok  2086s
     block 2100  547408217 teacher tok  2138s
     block 2150  560515499 teacher tok  2189s
     block 2200  573716982 teacher tok  2240s
     block 2250  586568670 teacher tok  2290s
     block 2300  599719170 teacher tok  2343s
